0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000021e-03	2.000000000000000042e-02	7.000000000000000666e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000056e-01	1.817677174835662405e-03	1.195107286947677363e-06	8.145091677574773271e-13	1.609279859806494475e-04	9.819933554284826424e-07	1.064610841636442740e-22	4.162512523949803046e-08	2.607516504640240192e-06	9.960695456518605891e-06	1.630362469011296448e-14	3.303950312072758233e-06	1.977452690830813070e-02	6.993929914402000070e-02	6.070085597989564570e-05	3.559105513326185211e-13	4.975816679573439010e-05
2.000000000000000111e-01	1.672720847912510540e-03	1.088620865581857244e-06	7.419347910477477459e-13	3.081265367915007186e-04	9.930342787310831359e-07	1.076580665869716963e-22	3.791624647734477472e-08	2.375493685466371919e-06	9.061559392819714293e-06	1.483199415612120158e-14	2.797995035108679015e-06	1.957352954552321611e-02	6.988515811385406784e-02	1.148418861458552965e-04	7.347015968084404380e-13	1.047872917247710063e-04
3.000000000000000444e-01	1.540505390777382414e-03	9.931983240307745415e-07	6.769008516200241011e-13	4.423222146550625893e-04	9.975548641278743912e-07	1.081481580141172333e-22	3.459271779739207506e-08	2.167527011563811643e-06	8.233207237784250971e-06	1.347620522259275052e-14	2.373156860935835664e-06	1.939048700822887036e-02	6.983600454161419113e-02	1.639954583857302836e-04	1.116145296593730982e-12	1.547646951541967360e-04
4.000000000000000222e-01	1.419710758117111215e-03	9.074380733053698061e-07	6.184521155012271077e-13	5.648440431043997168e-04	1.000321642188958572e-06	1.084481134832464431e-22	3.160572253062909962e-08	1.980577779101137965e-06	7.494097656843432136e-06	1.226647421090249784e-14	2.015578636885552434e-06	1.922352757342022864e-02	6.979129123871805063e-02	2.087087612819072725e-04	1.498930908271374835e-12	2.002143404716775078e-04
5.000000000000000000e-01	1.309205715543587624e-03	8.301675540774682002e-07	5.657894407789146998e-13	6.768601374396737312e-04	1.002324713959073054e-06	1.086652730614366611e-22	2.891442098846093161e-08	1.812102055270884231e-06	6.832598480246772901e-06	1.118376445394331382e-14	1.714019607550605610e-06	1.907101572198135336e-02	6.975054704401727201e-02	2.494529559826738781e-04	1.882613773829692864e-12	2.416180308946706140e-04
6.000000000000000888e-01	1.207992634787936588e-03	7.603852991402860088e-07	5.182302910563139739e-13	7.793993264876115327e-04	1.003905042609672831e-06	1.088366016737065807e-22	2.648393253240239582e-08	1.659925975965801233e-06	6.238845534323685690e-06	1.021193257560274632e-14	1.459246205807063307e-06	1.893151573419099565e-02	6.971336185640426841e-02	2.866381435956508075e-04	2.266976372512752340e-12	2.793953907415290755e-04
7.000000000000000666e-01	1.115188474119841074e-03	6.972316008606191813e-07	4.751887442520480433e-13	8.733708341470240721e-04	1.005213937647373703e-06	1.089785032760491875e-22	2.428431393808457338e-08	1.522182512820385392e-06	5.704488215586934010e-06	9.337312162291128828e-15	1.243645334034625394e-06	1.880376225531314380e-02	6.967937678836264026e-02	3.206232116372877421e-04	2.651889145425107820e-12	3.139135068228268992e-04
8.000000000000000444e-01	1.030009019821659854e-03	6.399649550493884223e-07	4.361594382394764555e-13	9.595808791124855238e-04	1.006331146359957782e-06	1.090996235320526963e-22	2.228973894830577371e-08	1.397260645306708953e-06	5.222416973362794183e-06	8.548267797578823342e-15	1.060918580987882387e-06	1.868663598822085936e-02	6.964827638310892854e-02	3.517236168910001627e-04	3.037264846593443548e-12	3.454948657254643075e-04
9.000000000000000222e-01	9.517556728298388110e-04	5.879429690048141442e-07	4.007045589823701754e-13	1.038746613878201424e-03	1.007303692816684735e-06	1.092050604748917592e-22	2.047783331051592191e-08	1.283764132516293907e-06	4.786546532913525519e-06	7.834840313140596537e-15	9.058388615538770821e-07	1.857914346469320688e-02	6.961978226390670710e-02	3.802177360932528340e-04	3.423039738400942437e-12	3.744238824366477093e-04
1.000000000000000000e+00	8.798043113787671525e-04	5.406067879676118060e-07	3.684432265965937735e-13	1.111507859316613602e-03	1.008161562538972621e-06	1.092980649333569287e-22	1.882913235852059002e-08	1.180477858982717360e-06	4.391642331920422365e-06	7.188462756220087339e-15	7.740556278496825753e-07	1.848040011351866768e-02	6.959364788698257920e-02	4.063521130173905461e-04	3.809164496896898242e-12	4.009523053065779715e-04
1.100000000000000089e+00	8.135958571121888055e-04	4.974683191054687943e-07	3.390427880299431053e-13	1.178437024813617801e-03	1.008925599694976338e-06	1.093808966923486980e-22	1.732663603051787580e-08	1.086340207705347134e-06	4.033180528655885004e-06	6.601731295553066293e-15	6.619382191991948404e-07	1.838961601130364998e-02	6.956965417161813103e-02	4.303458283818406083e-04	4.195599421370763729e-12	4.253037180512884898e-04
1.200000000000000178e+00	7.526282343212199570e-04	4.580996841532562894e-07	3.122116286520825966e-13	1.240047546240624762e-03	1.009610924570475065e-06	1.094551949919945393e-22	1.595544150995630622e-08	1.000420238501423306e-06	3.707234287449021295e-06	6.068219128886027412e-15	5.664492723804559651e-07	1.830608381207783630e-02	6.954760583399380303e-02	4.523941660061756086e-04	4.582311598063732759e-12	4.476773162057763556e-04
1.300000000000000044e+00	6.964495535999015155e-04	4.221245047567388153e-07	2.876932328987052123e-13	1.296801026196299890e-03	1.010228974075591071e-06	1.095221997456143045e-22	1.470243969845629016e-08	9.218988230183010818e-07	3.410381209577284626e-06	5.582324994259781290e-15	4.850419804213891935e-07	1.822916856801684582e-02	6.952732832026686793e-02	4.726716797330886375e-04	4.969273154549804864e-12	4.682510645745804239e-04
1.400000000000000133e+00	6.446521484679332671e-04	3.892105765594919439e-07	2.652611913947934968e-13	1.349113463766122819e-03	1.010788711712372228e-06	1.095828827162420646e-22	1.355606005787467427e-08	8.500527743084977862e-07	3.139626588711040399e-06	5.139147577275220336e-15	4.155763928587382090e-07	1.815829888027527261e-02	6.950866516371606574e-02	4.913348362838965795e-04	5.356460095105624858e-12	4.871844156218740375e-04
1.500000000000000000e+00	5.968675618375547274e-04	3.590638029947324263e-07	2.447150666126899721e-13	1.397360486484868500e-03	1.011297354438780954e-06	1.096380263183198053e-22	1.250605932725563625e-08	7.842417033170445615e-07	2.892340736795631382e-06	4.734382944522073838e-15	3.562508862149282195e-07	1.809295948711022936e-02	6.949147578540428027e-02	5.085242145956730443e-04	5.743851507830235126e-12	5.046205707558530651e-04
1.600000000000000089e+00	5.527621071852974665e-04	3.314230370551976343e-07	2.258768773502921763e-13	1.441881970275384886e-03	1.011760838312908183e-06	1.096882740997067635e-22	1.154334186415373375e-08	7.238968344996424152e-07	2.666206363421568178e-06	4.364238428982212824e-15	3.055459475932787588e-07	1.803268473978930295e-02	6.947563357350272639e-02	5.243664264972339737e-04	6.131428987028934856e-12	5.206884531597069697e-04
1.700000000000000178e+00	5.120330823253218611e-04	3.060557623593723176e-07	2.085881552202973045e-13	1.482985975398005887e-03	1.012184134539766944e-06	1.097341650053449631e-22	1.065980921823058215e-08	6.685116390728016464e-07	2.459174961878472494e-06	4.025361254808372441e-15	2.621778790964570594e-07	1.797705305796409164e-02	6.946102426078012981e-02	5.389757392198252402e-04	6.519176209307765755e-12	5.355043736002062333e-04
1.800000000000000044e+00	4.744054312077658465e-04	2.827544057564207560e-07	1.927074315560869172e-13	1.520952209537843568e-03	1.012571466009522230e-06	1.097761568528797486e-22	9.848231701016817705e-09	6.176338341072479669e-07	2.269430094720415852e-06	3.714778452966939263e-15	2.250605134778952342e-07	1.792568206402180009e-02	6.944754451022266961e-02	5.524554897773208953e-04	6.907078606460389321e-12	5.491734813057982988e-04
1.900000000000000133e+00	4.396288381486694054e-04	2.613332051693438601e-07	1.781081027326969232e-13	1.556035037811105476e-03	1.012926462960910951e-06	1.098146432086410708e-22	9.102139294342368278e-09	5.708585837591994549e-07	2.095356438009305543e-06	3.429846200878375520e-15	1.932735153389012984e-07	1.787822436388142658e-02	6.943510069579771071e-02	5.648993042022778426e-04	7.295123110593355452e-12	5.617910140027555137e-04
2.000000000000000000e+00	4.074751836041710083e-04	2.416255335877176974e-07	1.646766063703504331e-13	1.588466114263526558e-03	1.013252277216493679e-06	1.098499657722647353e-22	8.415728446235907358e-09	5.278226893022027054e-07	1.935513687598154477e-06	3.168207118791249722e-15	1.660360252374732604e-07	1.783436386636063145e-02	6.942360784473806945e-02	5.763921552619573774e-04	7.683297950085068958e-12	5.734433816106772807e-04
2.100000000000000089e+00	3.777362973698854872e-04	2.234815984069712598e-07	1.523108533503350474e-13	1.618456702137584290e-03	1.013551667780409179e-06	1.098824236566271483e-22	7.783781939955757145e-09	4.881995918407486405e-07	1.788614277591251579e-06	2.927753804738421614e-15	1.426847104289091787e-07	1.779381254485823405e-02	6.941298871211924737e-02	5.870112878807656883e-04	8.071592483360996387e-12	5.842091138608746436e-04
2.200000000000000178e+00	3.502219786669126533e-04	2.067664625866542732e-07	1.409188791622263805e-13	1.646199715660128481e-03	1.013827064350801723e-06	1.099122802734611334e-22	7.201599971830604565e-09	4.516950724061255825e-07	1.653504424360405409e-06	2.706597811799134400e-15	1.226554534262441953e-07	1.775630759330291963e-02	6.940317297223778936e-02	5.968270277622215276e-04	8.459997061427234209e-12	5.941596878108073611e-04
2.300000000000000266e+00	3.247582481430387469e-04	1.913583322470699008e-07	1.304176768387061890e-13	1.671871520555871099e-03	1.014080630049532575e-06	1.099397701339741978e-22	6.664940508973384839e-09	4.180435333451009239e-07	1.529147894058995833e-06	2.503043082418894035e-15	1.054679197878731346e-07	1.772160892279137090e-02	6.939409651028219383e-02	6.059034897178092486e-04	8.848502913044005523e-12	6.033602523426952928e-04
2.400000000000000355e+00	3.011857814429081412e-04	1.771470754149538428e-07	1.207321874265308793e-13	1.695633544606204527e-03	1.014314279577788271e-06	1.099651008173966118e-22	6.169967697926099009e-09	3.870047722175053127e-07	1.414611981594865653e-06	2.315563001747016443e-15	9.071287661985237120e-08	1.768949692657852471e-02	6.938570079311894012e-02	6.142992068810610102e-04	9.237102046405867384e-12	6.118702713804711904e-04
2.500000000000000000e+00	2.793585481815472516e-04	1.640329367339757043e-07	1.117944240151323918e-13	1.717633676660368456e-03	1.014529735198957198e-06	1.099884590400324345e-22	5.713207098510046989e-09	3.583611931012789095e-07	1.309055576620618807e-06	2.142780866558520467e-15	7.804119844510631848e-08	1.765977054140000641e-02	6.937793232550765188e-02	6.220676744923420978e-04	9.625787167050802702e-12	6.197440795525932262e-04
2.600000000000000089e+00	2.591425646875500496e-04	1.519254092815946278e-07	1.035427028385758906e-13	1.738007546000966625e-03	1.014728542052871783e-06	1.100100123156486936e-22	5.291506389733976552e-09	3.319153495107166494e-07	1.211718662077406864e-06	1.983452698478426372e-15	6.715486883503712678e-08	1.763224547788042051e-02	6.937074215624915163e-02	6.292578437508575219e-04	1.001455160503531990e-11	6.270313865301929517e-04
2.700000000000000178e+00	2.404147970643636951e-04	1.407422522200033265e-07	9.592097376890269098e-14	1.756879646841276324e-03	1.014912092901322934e-06	1.100299116381941644e-22	4.902001154992390874e-09	3.074878080868331577e-07	1.121913293688383941e-06	1.836452480903519116e-15	5.779927465091662462e-08	1.760675266727542917e-02	6.936408544627341299e-02	6.359145537266089549e-04	1.040338925261445713e-11	6.337777179347947034e-04
2.800000000000000266e+00	2.230621749590097364e-04	1.304086286742416014e-07	8.887823274864764008e-14	1.774364348129054943e-03	1.015081646739605184e-06	1.100482934995409950e-22	4.542084854727145284e-09	2.849152724827469345e-07	1.039015720969678005e-06	1.700759264054583125e-15	4.975673389954258203e-08	1.758313686866751907e-02	6.935792108287001934e-02	6.420789171300171410e-04	1.079229450952027090e-11	6.400248089683135575e-04
2.900000000000000355e+00	2.069807064294808578e-04	1.208563470648419555e-07	8.236800473138972488e-14	1.790566798932983084e-03	1.015238344542576277e-06	1.100652815965667310e-22	4.209382402364648950e-09	2.640489321388345522e-07	9.624595063051052498e-07	1.575445903419368219e-15	4.284101283585353192e-08	1.756125542185917737e-02	6.935221133553486073e-02	6.477886644652039406e-04	1.118126223480625810e-11	6.458109554315192994e-04
3.000000000000000000e+00	1.920746820658230964e-04	1.120231922181654372e-07	7.634788780907054299e-14	1.805583741823726072e-03	1.015383222662506785e-06	1.100809882836614807e-22	3.901726867169833218e-09	2.447530061371082867e-07	8.917294975089854135e-07	1.459669194983623503e-15	3.689268349187001390e-08	1.754097712843870338e-02	6.934692154826239963e-02	6.530784517376689432e-04	1.157028770426253102e-11	6.511713274457508289e-04
3.100000000000000089e+00	1.782559577663986273e-04	1.038523339440055269e-07	7.077915013607863628e-14	1.819504245083032211e-03	1.015517224307300660e-06	1.100955158171199410e-22	3.617138875250719100e-09	2.269034554441188955e-07	8.263565330674440646e-07	1.352661209543812539e-15	3.177518648056717809e-08	1.752218124571149407e-02	6.934201986379157079e-02	6.579801362084870472e-04	1.195936657258246308e-11	6.561382504903935219e-04
3.200000000000000178e+00	1.654433074264875141e-04	9.629180294503883751e-08	6.562637274244170770e-14	1.832410363069481843e-03	1.015641209450725024e-06	1.101089574295433515e-22	3.353808355701653302e-09	2.103868415448010522e-07	7.659127784344279780e-07	1.253721659792298135e-15	2.737148797358684333e-08	1.750475658039037097e-02	6.933747697597578141e-02	6.625230240242739295e-04	1.234849483961659887e-11	6.607414576866410365e-04
3.300000000000000266e+00	1.535618376720479668e-04	8.929402527360628315e-08	6.085713224915748009e-14	1.844377732781275888e-03	1.015755963436533363e-06	1.101213982626414226e-22	3.110078325924524841e-09	1.950993123984420608e-07	7.100076080363757719e-07	1.162211160504005593e-15	2.358123799006257402e-08	1.748860067072975644e-02	6.933326590698554726e-02	6.667340930144841256e-04	1.273766882016804900e-11	6.650083167041807028e-04
