structure,qh-G(T)_SPC
00-lpdoh2,-1324.979372
01-rxt,-1886.129748
05-c2,-1886.169588
21-t4,-1710.225735
100-l2pd2oh4,-2649.958744
naphboh2,-561.150376
h2o,-76.368394
boh3,-252.272407
naph-c,-385.286152
naph-t,-385.286152
