0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000021e-03	2.000000000000000042e-02	1.000000000000000056e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+05	1.892834269522349457e-03	4.111617482265530132e-22	1.000000098152359769e-04	1.574115774927760074e-21	3.582821571878206120e-06	2.172201522589234653e-19	8.010000000981515322e-02	1.989999999018472049e-02	0.000000000000000000e+00	1.989999999018473090e-02
2.000000000000000000e+05	1.892834269522509919e-03	4.111617482265575271e-22	1.000000098150745663e-04	1.574115774927907340e-21	3.582821571878814290e-06	2.172201522589074319e-19	8.010000000981501445e-02	1.989999999018489396e-02	0.000000000000000000e+00	1.989999999018490437e-02
3.000000000000000000e+05	1.892834269522670381e-03	4.111617482265619940e-22	1.000000098149131557e-04	1.574115774928054794e-21	3.582821571879420765e-06	2.172201522588914467e-19	8.010000000981487567e-02	1.989999999018506743e-02	0.000000000000000000e+00	1.989999999018507784e-02
4.000000000000000000e+05	1.892834269522830843e-03	4.111617482265665079e-22	1.000000098147517451e-04	1.574115774928201495e-21	3.582821571880028935e-06	2.172201522588753652e-19	8.010000000981473689e-02	1.989999999018524091e-02	0.000000000000000000e+00	1.989999999018525131e-02
5.000000000000000000e+05	1.892834269522991305e-03	4.111617482265709747e-22	1.000000098145903345e-04	1.574115774928348761e-21	3.582821571880636258e-06	2.172201522588593799e-19	8.010000000981459811e-02	1.989999999018541438e-02	0.000000000000000000e+00	1.989999999018542479e-02
6.000000000000000000e+05	1.892834269523151767e-03	4.111617482265754886e-22	1.000000098144289239e-04	1.574115774928496027e-21	3.582821571881244004e-06	2.172201522588432984e-19	8.010000000981445933e-02	1.989999999018558785e-02	0.000000000000000000e+00	1.989999999018559826e-02
7.000000000000000000e+05	1.892834269523312228e-03	4.111617482265800025e-22	1.000000098142675133e-04	1.574115774928643105e-21	3.582821571881850903e-06	2.172201522588273132e-19	8.010000000981432056e-02	1.989999999018576132e-02	0.000000000000000000e+00	1.989999999018577173e-02
8.000000000000000000e+05	1.892834269523472690e-03	4.111617482265845635e-22	1.000000098141061027e-04	1.574115774928790371e-21	3.582821571882459073e-06	2.172201522588112798e-19	8.010000000981418178e-02	1.989999999018593480e-02	0.000000000000000000e+00	1.989999999018594520e-02
9.000000000000000000e+05	1.892834269523633152e-03	4.111617482265890774e-22	1.000000098139446921e-04	1.574115774928937637e-21	3.582821571883065972e-06	2.172201522587951983e-19	8.010000000981404300e-02	1.989999999018610827e-02	0.000000000000000000e+00	1.989999999018611868e-02
