line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,reference_gibbs
0,0,[NaphBpin(OH)]$^-$,True,True,False,top,-1.5,darkred,darkred,o,0.0
0,1,TS0,True,True,True,top,-1.5,darkred,darkred,o,32.7221135277205
0,2,Naph-H + [OBpin]$^-$,True,True,False,top,-1.5,darkred,darkred,o,-8.684732313621273
0,3,Naph-H + [OBpin]$^-$ // Naph-H + [Bpin(OH)$_2$]$^-$,False,True,True,top,-1.5,darkred,darkred,x,-5.218369238860278
0,4,Naph-H + [Bpin(OH)$_2$]$^-$,False,True,False,top,-1.5,darkred,darkred,o,-17.421547920681434
1,0,[NaphBpin(OH)]$^-$,False,False,False,top,-1.5,darkblue,darkblue,o,0.0
1,1,[NaphBpin(OH)]$^-$ // [NaphBpin(OH)]$^-$ + H$_2$O,False,True,True,top,-1.5,darkblue,darkblue,x,4.543169480249631
1,2,[NaphBpin(OH)]$^-$ + H$_2$O,True,True,False,top,-1.5,darkblue,darkblue,o,1.0768064054886368
1,3,TS1,True,True,True,top,-1.5,darkblue,darkblue,o,33.394803776300236
1,4,Naph-H + [Bpin(OH)$_2$]$^-$,False,True,False,top,-1.5,darkblue,darkblue,o,-17.421547920681434
2,4,Naph-H + [Bpin(OH)$_2$]$^-$,True,True,False,top,-1.5,black,black,o,-17.421547920681434
2,5,Naph-H + [Bpin(OH)$_2$]$^-$ // Naph-H + Bpin(OH) + [NaphBpin(OH)]$^-$,False,True,True,top,-1.5,black,black,x,-13.955184845920439
2,6,Naph-H + Bpin(OH) + [NaphBpin(OH)]$^-$,True,True,False,top,-1.5,black,black,o,-22.288512069803517
