descriptor,exp_full,exp_good,comp_full,comp_good,exp_full_abs,exp_full_abs_rank,exp_good_abs,exp_good_abs_rank,comp_full_abs,comp_full_abs_rank,comp_good_abs,comp_good_abs_rank
dipolemoment_boltz,-0.05189417151252411,-0.391119431882616,0.19855972587459217,-0.1644377577149185,0.05189417151252411,158.0,0.391119431882616,52.0,0.19855972587459217,77.0,0.1644377577149185,108.0
dipolemoment_delta,-0.14977448937839172,-0.17798712969276853,-0.09141210120812153,-0.2097908978383197,0.14977448937839172,108.0,0.17798712969276853,111.0,0.09141210120812153,139.0,0.2097908978383197,91.0
dipolemoment_max,-0.14823215310958787,-0.24917182629910406,0.04675386544145374,-0.25199109951675047,0.14823215310958787,110.0,0.24917182629910406,84.0,0.04675386544145374,160.0,0.25199109951675047,80.0
dipolemoment_min,-0.02653921109644326,-0.0799112388193587,0.2379367110157371,0.018471807122413534,0.02653921109644326,175.0,0.0799112388193587,152.0,0.2379367110157371,59.0,0.018471807122413534,180.0
dipolemoment_vburminconf,-0.18333315828767394,-0.26905637346927935,0.0778423464524552,-0.22349921233033485,0.18333315828767394,95.0,0.26905637346927935,73.0,0.0778423464524552,146.0,0.22349921233033485,87.0
E_oxidation_boltz,-0.21757836209016895,-0.2410433877443659,-0.1825189226994614,-0.21632269695210812,0.21757836209016895,84.0,0.2410433877443659,87.0,0.1825189226994614,86.0,0.21632269695210812,90.0
E_reduction_boltz,-0.09199284792480744,-0.11098170879662661,-0.15912071579422174,-0.09500802616605976,0.09199284792480744,132.0,0.11098170879662661,137.0,0.15912071579422174,97.0,0.09500802616605976,142.0
E_solv_cds_boltz,0.31849240715000854,0.3174709064270359,0.0013922845862605754,0.1648936114573358,0.31849240715000854,55.0,0.3174709064270359,63.0,0.0013922845862605754,185.0,0.1648936114573358,106.0
E_solv_elstat_boltz,-0.006113911313533246,0.006632853253731084,-0.0992386090675769,0.02565624914911125,0.006113911313533246,180.0,0.006632853253731084,186.0,0.0992386090675769,135.0,0.02565624914911125,177.0
E_solv_total_boltz,0.20192669245276534,0.21252521558450113,-0.04884861417744392,0.12124618197239875,0.20192669245276534,89.0,0.21252521558450113,96.0,0.04884861417744392,159.0,0.12124618197239875,132.0
efg_amp_P_boltz,0.42698644501025407,0.5030351351395191,0.2471363850789169,0.3837201159285137,0.42698644501025407,45.0,0.5030351351395191,32.0,0.2471363850789169,57.0,0.3837201159285137,49.0
efgtens_xx_P_boltz,-0.15379834058494818,-0.2096754109156656,-0.31533352102027207,-0.24088332999770445,0.15379834058494818,106.0,0.2096754109156656,97.0,0.31533352102027207,26.0,0.24088332999770445,85.0
efgtens_yy_P_boltz,-0.23810004022735382,-0.22370324794175725,0.2277800797536343,-0.0574735908035718,0.23810004022735382,79.0,0.22370324794175725,92.0,0.2277800797536343,63.0,0.0574735908035718,163.0
efgtens_zz_P_boltz,0.4476078312434025,0.5148370201846255,0.2290785154769922,0.38547981403606757,0.4476078312434025,38.0,0.5148370201846255,31.0,0.2290785154769922,62.0,0.38547981403606757,48.0
fmo_e_homo_boltz,0.2582192085982203,0.2765827893844864,0.16206532488262498,0.25958290759312036,0.2582192085982203,71.0,0.2765827893844864,70.0,0.16206532488262498,96.0,0.25958290759312036,78.0
fmo_e_lumo_boltz,-0.0923877225570304,-0.11447230812306833,-0.1567999358243047,-0.09204918558275353,0.0923877225570304,131.0,0.11447230812306833,133.0,0.1567999358243047,99.0,0.09204918558275353,146.0
fmo_eta_boltz,-0.14462249801744673,-0.16009235763188026,-0.18156915403885912,-0.13558000656821342,0.14462249801744673,112.0,0.16009235763188026,119.0,0.18156915403885912,87.0,0.13558000656821342,123.0
fmo_mu_boltz,-0.028211907572708136,-0.06183747736262092,-0.11949626388035556,-0.04245190689164395,0.028211907572708136,172.0,0.06183747736262092,158.0,0.11949626388035556,123.0,0.04245190689164395,174.0
fmo_omega_boltz,0.08226509021650456,0.10850501232266592,0.14788311244715252,0.07542149534800058,0.08226509021650456,138.0,0.10850501232266592,138.0,0.14788311244715252,108.0,0.07542149534800058,156.0
fukui_m_boltz,0.06837514056811567,0.0443579283360445,0.10708823936213985,0.18416658085432674,0.06837514056811567,147.0,0.0443579283360445,161.0,0.10708823936213985,128.0,0.18416658085432674,100.0
fukui_p_boltz,-0.2483012993587378,-0.3434545259635208,-0.27032544201963526,-0.3327166383394058,0.2483012993587378,75.0,0.3434545259635208,56.0,0.27032544201963526,46.0,0.3327166383394058,56.0
nbo_bd_e_avg_boltz,0.22348268709342123,0.22261917973152795,0.2857673159878125,0.34800676355248045,0.22348268709342123,82.0,0.22261917973152795,93.0,0.2857673159878125,35.0,0.34800676355248045,53.0
nbo_bd_e_max_boltz,0.24626335892742815,0.2504401078427649,0.30610553687746145,0.3558564938428715,0.24626335892742815,76.0,0.2504401078427649,82.0,0.30610553687746145,29.0,0.3558564938428715,52.0
nbo_bd_occ_avg_boltz,-0.779953350638609,-0.80395642266876,-0.4127222859779673,-0.6886346737319846,0.779953350638609,3.0,0.80395642266876,4.0,0.4127222859779673,8.0,0.6886346737319846,8.0
nbo_bd_occ_min_boltz,-0.6704221479671529,-0.6615909228251541,-0.3190470318617629,-0.5498980894516803,0.6704221479671529,12.0,0.6615909228251541,18.0,0.3190470318617629,23.0,0.5498980894516803,18.0
nbo_bds_e_avg_boltz,-0.4346773734749138,-0.42862949584922183,-0.3185306073375614,-0.5268983415438441,0.4346773734749138,40.0,0.42862949584922183,43.0,0.3185306073375614,25.0,0.5268983415438441,25.0
nbo_bds_e_min_boltz,-0.4695265419532302,-0.47414549532362565,-0.33811866919075784,-0.5568271720953953,0.4695265419532302,33.0,0.47414549532362565,37.0,0.33811866919075784,15.0,0.5568271720953953,17.0
nbo_bds_occ_avg_boltz,0.7845014763110674,0.873444116130898,0.2927398254451391,0.6958054103123879,0.7845014763110674,2.0,0.873444116130898,1.0,0.2927398254451391,33.0,0.6958054103123879,6.0
nbo_bds_occ_max_boltz,0.7005404160832148,0.764063570289551,0.22506045734789332,0.5826375224500706,0.7005404160832148,8.0,0.764063570289551,9.0,0.22506045734789332,64.0,0.5826375224500706,14.0
nbo_lp_P_e_boltz,0.3879442428105012,0.4622390050218051,0.2226267603681407,0.4432645171955131,0.3879442428105012,50.0,0.4622390050218051,41.0,0.2226267603681407,69.0,0.4432645171955131,35.0
nbo_lp_P_occ_boltz,-0.20283206256895606,-0.1619404401997528,0.09520128481319637,0.033636044095978625,0.20283206256895606,88.0,0.1619404401997528,117.0,0.09520128481319637,137.0,0.033636044095978625,176.0
nbo_lp_P_percent_s_boltz,-0.35956670779399486,-0.3589277322732908,-0.07272924663366293,-0.2673212113367197,0.35956670779399486,52.0,0.3589277322732908,53.0,0.07272924663366293,148.0,0.2673212113367197,75.0
nbo_P_boltz,-0.1560332171659592,-0.18940452714497746,-0.06614865857232087,-0.22286160675853917,0.1560332171659592,104.0,0.18940452714497746,101.0,0.06614865857232087,150.0,0.22286160675853917,88.0
nbo_P_ra_boltz,-0.004223837419522751,0.020964550333393995,0.08458948291052226,-0.012069403243762364,0.004223837419522751,183.0,0.020964550333393995,175.0,0.08458948291052226,143.0,0.012069403243762364,183.0
nbo_P_rc_boltz,0.04801390491467515,0.020009989368935055,0.1045853669995812,0.167181426956947,0.04801390491467515,161.0,0.020009989368935055,176.0,0.1045853669995812,130.0,0.167181426956947,105.0
nmr_P_boltz,-0.5114757913969874,-0.4902678922032778,-0.28632963926039645,-0.5042934600802315,0.5114757913969874,29.0,0.4902678922032778,35.0,0.28632963926039645,34.0,0.5042934600802315,29.0
nmrtens_sxx_P_boltz,-0.3703764593280017,-0.35193773235028725,-0.2529048586810845,-0.3954631848443423,0.3703764593280017,51.0,0.35193773235028725,55.0,0.2529048586810845,53.0,0.3954631848443423,45.0
nmrtens_syy_P_boltz,-0.4274498435869408,-0.39648839289173465,-0.2968361989273956,-0.4898985746444619,0.4274498435869408,44.0,0.39648839289173465,50.0,0.2968361989273956,31.0,0.4898985746444619,30.0
nmrtens_szz_P_boltz,-0.7086009007387356,-0.751480270337141,-0.21858731061111264,-0.5425893817325351,0.7086009007387356,7.0,0.751480270337141,11.0,0.21858731061111264,73.0,0.5425893817325351,21.0
nuesp_P_boltz,0.03789991961486067,0.03282213803622444,-0.11849467127808339,-0.07068636210082996,0.03789991961486067,165.0,0.03282213803622444,171.0,0.11849467127808339,124.0,0.07068636210082996,160.0
Pint_dP_boltz,-0.1406852832743716,-0.190723803612019,0.000769439865963722,-0.1594484331377981,0.1406852832743716,116.0,0.190723803612019,100.0,0.000769439865963722,186.0,0.1594484331377981,111.0
Pint_P_int_boltz,0.0009726577129587702,-0.010845881129627746,0.1249683525199009,0.04809203222266645,0.0009726577129587702,186.0,0.010845881129627746,184.0,0.1249683525199009,121.0,0.04809203222266645,168.0
Pint_P_max_boltz,-0.005912986991228767,-0.03959822689375347,-0.023629610596911925,-0.14204748383469537,0.005912986991228767,181.0,0.03959822689375347,164.0,0.023629610596911925,172.0,0.14204748383469537,117.0
Pint_P_min_boltz,0.43034258853989,0.46963405051025303,0.2934950048620943,0.42801622462066785,0.43034258853989,42.0,0.46963405051025303,38.0,0.2934950048620943,32.0,0.42801622462066785,36.0
pyr_alpha_boltz,0.5958711007424082,0.6829691647213862,0.2765930477000214,0.6330035731491552,0.5958711007424082,21.0,0.6829691647213862,16.0,0.2765930477000214,43.0,0.6330035731491552,12.0
pyr_alpha_delta,-0.4352430608042557,-0.405763255419727,-0.28218887982486074,-0.47743536185995633,0.4352430608042557,39.0,0.405763255419727,48.0,0.28218887982486074,37.0,0.47743536185995633,32.0
pyr_alpha_max,0.4753873207939494,0.5437605760802684,0.19583128867500002,0.3880691378738097,0.4753873207939494,32.0,0.5437605760802684,28.0,0.19583128867500002,78.0,0.3880691378738097,47.0
pyr_alpha_min,0.6835560620482611,0.7673731362789039,0.3463786358889986,0.693671450671357,0.6835560620482611,9.0,0.7673731362789039,7.0,0.3463786358889986,13.0,0.693671450671357,7.0
pyr_alpha_vburminconf,0.567708775214733,0.5759950149897486,0.247984444309433,0.5475878629111464,0.567708775214733,25.0,0.5759950149897486,26.0,0.247984444309433,56.0,0.5475878629111464,19.0
pyr_P_boltz,-0.5773028911672976,-0.6797447695443073,-0.25999904937910195,-0.6383446416740797,0.5773028911672976,23.0,0.6797447695443073,17.0,0.25999904937910195,52.0,0.6383446416740797,11.0
pyr_P_delta,-0.2762184466909339,-0.26912097476415686,-0.23083855213965235,-0.39353289900862615,0.2762184466909339,68.0,0.26912097476415686,72.0,0.23083855213965235,60.0,0.39353289900862615,46.0
pyr_P_max,-0.6592479984141573,-0.7633855050219165,-0.32882663318288563,-0.707014314366738,0.6592479984141573,15.0,0.7633855050219165,10.0,0.32882663318288563,20.0,0.707014314366738,5.0
pyr_P_min,-0.4540900685157734,-0.5358480730891416,-0.169702572387707,-0.3775201050216544,0.4540900685157734,36.0,0.5358480730891416,29.0,0.169702572387707,93.0,0.3775201050216544,50.0
pyr_P_vburminconf,-0.556158251195704,-0.5709909364316729,-0.21483234308140015,-0.5317232175429594,0.556158251195704,26.0,0.5709909364316729,27.0,0.21483234308140015,74.0,0.5317232175429594,22.0
qpole_amp_boltz,-0.11798621582360183,-0.2384870556705187,0.1519855822892649,-0.13263422584000656,0.11798621582360183,123.0,0.2384870556705187,89.0,0.1519855822892649,101.0,0.13263422584000656,125.0
qpole_amp_delta,-0.290189155103721,-0.3253414383640615,-0.3711486280763387,-0.4188707580346459,0.290189155103721,64.0,0.3253414383640615,60.0,0.3711486280763387,11.0,0.4188707580346459,40.0
qpole_amp_max,-0.15825972777087619,-0.2474941820632655,-0.022268350631572693,-0.285696322467143,0.15825972777087619,103.0,0.2474941820632655,86.0,0.022268350631572693,173.0,0.285696322467143,69.0
qpole_amp_min,0.02733134661394632,0.018602946149953257,0.27495697560660387,0.09006709746039684,0.02733134661394632,174.0,0.018602946149953257,179.0,0.27495697560660387,44.0,0.09006709746039684,147.0
qpole_amp_vburminconf,-0.08709763998173753,-0.14861908996216275,0.061822955188164955,-0.24467865050635887,0.08709763998173753,135.0,0.14861908996216275,124.0,0.061822955188164955,151.0,0.24467865050635887,83.0
qpoletens_xx_boltz,-0.07246212230925159,-0.18812666313213003,0.14937173294041933,-0.12753367390933082,0.07246212230925159,146.0,0.18812666313213003,103.0,0.14937173294041933,104.0,0.12753367390933082,128.0
qpoletens_xx_delta,-0.24161528347196382,-0.2648320509774356,-0.2193448413791142,-0.3352186727166245,0.24161528347196382,77.0,0.2648320509774356,76.0,0.2193448413791142,71.0,0.3352186727166245,55.0
qpoletens_xx_max,-0.08389060350837729,-0.16256373880007524,0.0488958118221299,-0.20629101821158832,0.08389060350837729,137.0,0.16256373880007524,115.0,0.0488958118221299,158.0,0.20629101821158832,92.0
qpoletens_xx_min,0.05277479196148661,0.04018498284469288,0.22290739869331075,0.04972505093062919,0.05277479196148661,157.0,0.04018498284469288,163.0,0.22290739869331075,68.0,0.04972505093062919,167.0
qpoletens_xx_vburminconf,-0.030456213369214457,-0.07875892795624383,0.1478990479976346,-0.14105492174294,0.030456213369214457,168.0,0.07875892795624383,154.0,0.1478990479976346,107.0,0.14105492174294,119.0
qpoletens_yy_boltz,-0.1528874979364037,-0.1447926447358226,-0.0601032480623276,-0.013002226951037803,0.1528874979364037,107.0,0.1447926447358226,127.0,0.0601032480623276,152.0,0.013002226951037803,182.0
qpoletens_yy_delta,-0.2179398715531475,-0.24898309779911065,-0.24623272641144328,-0.2929434146193267,0.2179398715531475,83.0,0.24898309779911065,85.0,0.24623272641144328,58.0,0.2929434146193267,66.0
qpoletens_yy_max,-0.302440002907951,-0.41986909137339196,-0.3326768713701373,-0.4071807352642302,0.302440002907951,58.0,0.41986909137339196,44.0,0.3326768713701373,19.0,0.4071807352642302,43.0
qpoletens_yy_min,0.0018483838781995889,0.053917560881048696,0.009315742965718441,0.12258789186620715,0.0018483838781995889,184.0,0.053917560881048696,159.0,0.009315742965718441,178.0,0.12258789186620715,130.0
qpoletens_yy_vburminconf,-0.14728173034480324,-0.18361821100063996,-0.27393215288057343,-0.28003999376560645,0.14728173034480324,111.0,0.18361821100063996,107.0,0.27393215288057343,45.0,0.28003999376560645,71.0
qpoletens_zz_boltz,0.17548301612359116,0.2756061182573205,-0.14985195633959347,0.13452961355657178,0.17548301612359116,97.0,0.2756061182573205,71.0,0.14985195633959347,103.0,0.13452961355657178,124.0
qpoletens_zz_delta,-0.27953137961675023,-0.31969025489740643,-0.41986316553214337,-0.40481515956987707,0.27953137961675023,65.0,0.31969025489740643,62.0,0.41986316553214337,7.0,0.40481515956987707,44.0
qpoletens_zz_max,0.027608310935284253,0.01808664984277667,-0.35085051484547514,-0.11984501561659275,0.027608310935284253,173.0,0.01808664984277667,180.0,0.35085051484547514,12.0,0.11984501561659275,133.0
qpoletens_zz_min,0.25254750921435476,0.2982371611265904,0.08866575130473837,0.31503828359169517,0.25254750921435476,72.0,0.2982371611265904,67.0,0.08866575130473837,141.0,0.31503828359169517,61.0
qpoletens_zz_vburminconf,0.16057341769350775,0.18388370325409112,0.02449440276751427,0.29853787721142516,0.16057341769350775,102.0,0.18388370325409112,106.0,0.02449440276751427,171.0,0.29853787721142516,63.0
somo_ra_boltz,-0.08735236525762291,-0.1024870063040599,-0.15704123020785798,-0.09461665284706132,0.08735236525762291,134.0,0.1024870063040599,141.0,0.15704123020785798,98.0,0.09461665284706132,144.0
somo_rc_boltz,0.05166740971022143,0.04627802183027162,0.1557754296197139,0.07214641280531435,0.05166740971022143,159.0,0.04627802183027162,160.0,0.1557754296197139,100.0,0.07214641280531435,158.0
sphericity_boltz,0.31063641160507893,0.35727695315726926,0.053323752286404326,0.2579935708650637,0.31063641160507893,57.0,0.35727695315726926,54.0,0.053323752286404326,156.0,0.2579935708650637,79.0
spindens_P_ra_boltz,-0.14252502289596208,-0.23354024768667872,-0.14928666004626354,-0.1647415374260311,0.14252502289596208,114.0,0.23354024768667872,91.0,0.14928666004626354,105.0,0.1647415374260311,107.0
spindens_P_rc_boltz,0.04633684583972756,0.024496380797752338,0.08691526458339636,0.15938424846399046,0.04633684583972756,163.0,0.024496380797752338,174.0,0.08691526458339636,142.0,0.15938424846399046,112.0
sterimol_B1_boltz,-0.21723544017315796,-0.2038468389823788,0.1065194263036407,-0.08962728560153704,0.21723544017315796,85.0,0.2038468389823788,99.0,0.1065194263036407,129.0,0.08962728560153704,148.0
sterimol_B1_delta,-0.6668583766815369,-0.6593968692202493,-0.30670541050220546,-0.5271345122907372,0.6668583766815369,13.0,0.6593968692202493,19.0,0.30670541050220546,28.0,0.5271345122907372,24.0
