group,00-lpdoh2,01-rxt,02-ts-rxt-c1,03-c1,04-ts-c1-c2,05-c2,06-c2-h2o,07-ts-c2-c3,08-c3-boh3,09-c3,10-ts-c3-c4,11-c4,12-ts-rxt-t1,13-t1,14-ts-t1-t2,15-t2,16-t2-h2o,17-ts-t2-t3,18-t3-boh3,19-t3,20-ts-t3-t4,21-t4,22-c5,23-ts-c5-c6,24-t5,25-ts-t5-t6,26-t6,27-ts-t2-xa,28-xa,29-ts-xa-t3,30-ts-t2-xb,31-xb,32-ts-xb-t3,33-ts-rxt-ya,34-ya,35-ts-ya-c1,36-ts-rxt-yb,37-yb,38-ts-yb-c1,39-t2-lig,40-ts-t2-p1,41-p1-boh3,42-p1,43-t3-lig,44-ts-t3-p1,45-p1-h2o,58-c2alt,59-t2-2h2o,60-ts-t2-t3ob,61-t3ob-2h2o,62-t3ob-h2o,63-t3ob,64-ts-t3ob-t4ob,65-t4ob,66-ts-t2-t4ob,67-t4ob-h2o,68-ts-t4ob-t4-4mps,69-t4-boh3,70-t4ob-2h2o,71-ts-t4ob-t4-6mps,72-t4-boh3h2o,73-ts-t4ob-t5ob,74-t5ob-rh,75-t5ob,76-t5ob-1h2o,77-ts-t5ob-t6ob-4mps,78-t6ob,79-t5ob-2h2o,80-ts-t5ob-t6ob-6mps,81-t6ob-1h2o,82-ts-t2-t3-4mps,83-ts-t2-t3-6mps,84-t3-boh3h2o,85-c2dim,86-c2-naphboh2,87-ts-c2-naphboh2-hc1,88-hc1-boh3,89-hc1,90-ts-hc1-hc2,91-hc2,92-ts-hc2-hc3,93-hc3,94-ts-hc3-pd0boh3,95-lpd0boh3,96-hc4,97-ts-hc4-lpd0,98-lpd0,e00-lpdoh2,e01-ecrxt,e02-ts-ecrxt-ec1,e03-ec1,e04-ts-ec1-ec2,e05-ec2,e06-ec2-h2o,e07-ts-ec2-ec3,e08-ec3-bpinoh,e09-ec3,e10-ts-ec3-ec4,e11-ec4,e12-etrxt,e13-ts-etrxt-et1,e14-et1,e15-ts-et1-et2,e16-et2,e17-et2-h2o,e18-ts-et2-et3,e19-et3-bpinoh,e20-et3,e21-ts-et3-et4,e22-et4,e23-ts-etrxt-ec1b,e24-ec1b,e25-ts-ec1b-ec2b,e26-ec2b,e27-ec2b-h2o,e28-ts-ec2b-ec3b,e29-ec3b-bpinoh,e30-ts-ecrxt-et1b,e31-et1b,e32-ts-et1b-et2b,e33-et2b,e34-et2b-h2o,e35-ts-et2b-et3b,e36-et3b-bpinoh,exp_yield,exp_error,max_C_TM,max_C_TM_name,max_T_uncorr,max_T_uncorr_name,max_overall_uncorr_name,ddG_uncorr,17-ts-t2-t3-corr_1.0,max_T_corr_1.0,max_T_corr_1.0_name,max_overall_corr_1.0_name,ddG_corr_1.0,17-ts-t2-t3-corr_3.5,max_T_corr_3.5,max_T_corr_3.5_name,max_overall_corr_3.5_name,ddG_corr_3.5,17-ts-t2-t3-corr_5.0,max_T_corr_5.0,max_T_corr_5.0_name,max_overall_corr_5.0_name,ddG_corr_5.0
3a-pph3,0.0,2.765120877838797,13.593425848642948,2.0736053423570278,5.964164615659055,-29.89173165578261,-27.998535312570482,-22.379814710336696,-27.701723290546596,-22.714904815366594,7.940192220897698,-7.816572836774513,10.168478669139724,2.5285497734448454,13.641116575385336,-3.6844223826093736,-0.19421420843633944,11.215164615528035,-4.2284731711674794,-3.84318230144597,14.545357851889863,-10.441445327221698,-19.571709428479775,14.128691503808058,11.414085146117921,17.17148536131166,,,,,,,,,,,,,,-7.030930867353295,3.942956321912603,-41.82445345351186,-41.938032683840646,-7.610122191480886,-4.554150633031719,-38.93163438059578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.0001,13.593425848642948,02-ts-rxt-c1,14.545357851889863,20-ts-t3-t4,20-ts-t3-t4,-0.951932003246915,13.804924873616999,14.545357851889863,20-ts-t3-t4,20-ts-t3-t4,-0.951932003246915,12.975595459113777,14.545357851889863,20-ts-t3-t4,20-ts-t3-t4,-0.951932003246915,12.739476552454244,14.545357851889863,20-ts-t3-t4,20-ts-t3-t4,-0.951932003246915
3aa-adbrettphos,0.0,5.198916706430095,24.07503178818865,17.953048518351995,22.41903405857242,-18.411758006363645,-13.224763981619148,-7.862067279312578,-11.86871582174869,-11.444519359248503,23.207813576286245,10.539023064340082,19.8851504543428,6.091235301819742,15.698406668218837,0.7341861857549966,9.961714268674408,19.007892088931353,9.604661329020589,-4.973640773949077,16.28324557887361,0.3802707938230649,-3.183983508412774,25.964463073906227,13.10930222339916,27.130375836579795,,,,,,,,19.614693834210048,-0.23970865154512117,21.413136233710063,27.076410014393634,4.129012906443253,36.27193511032152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,0.0105,24.07503178818865,02-ts-rxt-c1,19.8851504543428,12-ts-rxt-t1,02-ts-rxt-c1,4.18988133384585,21.59765234702032,21.59765234702032,17-ts-t2-t3-corr_1.0,02-ts-rxt-c1,2.477379441168331,20.768322932517094,20.768322932517094,17-ts-t2-t3-corr_3.5,02-ts-rxt-c1,3.3067088556715554,20.53220402585756,20.53220402585756,17-ts-t2-t3-corr_5.0,02-ts-rxt-c1,3.5428277623310898
3b-potol3,0.0,3.9351124523225294,14.919039794812107,4.182351219427467,6.228659895234366,-29.067497848469046,-25.125482791500797,-19.312861735146285,-24.096994622241855,-22.07327629026082,10.00626744769491,-5.200799235177371,9.754636113893476,2.561494025095366,14.426444789920223,-1.357303178274352,0.47188718981329225,11.380513384694737,2.3650835330254196,-4.346131214162508,13.934477294801003,-10.508275095181736,-20.33381978941613,12.475517567027385,13.019568356156206,20.315622012857478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.647,0.0333,14.919039794812107,02-ts-rxt-c1,14.426444789920223,14-ts-t1-t2,02-ts-rxt-c1,0.4925950048918839,13.9702736427837,14.426444789920223,14-ts-t1-t2,02-ts-rxt-c1,0.4925950048918839,13.140944228280478,14.426444789920223,14-ts-t1-t2,02-ts-rxt-c1,0.4925950048918839,12.904825321620946,14.426444789920223,14-ts-t1-t2,02-ts-rxt-c1,0.4925950048918839
3c-pipr3,0.0,2.9659239366052406,16.900401230835527,4.392880676531259,10.090039973809706,-23.07948787029487,-23.316058974688822,-17.65843277967636,-21.96440338180022,-17.761344347294163,9.76624504069274,-4.1017162404638405,10.619030532960327,2.8586198017202245,14.762476159323759,2.5298047921340983,4.140621833242519,15.574473530350753,3.4566364127498495,-0.5970753466559875,14.49578459611484,-9.966420590257236,-16.636847215348496,15.026657684012738,15.031050250994594,18.72206148421943,,,,,,,,,,,,,,-0.8392940370064058,12.630198673483099,-25.585761054229465,-26.92298392691253,-0.7671304374055173,11.103467913375805,-25.97669950990744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.0131,16.900401230835527,02-ts-rxt-c1,15.574473530350753,17-ts-t2-t3,02-ts-rxt-c1,1.3259277004847743,18.164233788439716,18.164233788439716,17-ts-t2-t3-corr_1.0,17-ts-t2-t3-corr_1.0,-1.2638325576041893,17.334904373936496,17.334904373936496,17-ts-t2-t3-corr_3.5,17-ts-t2-t3-corr_3.5,-0.4345031431009687,17.09878546727696,17.09878546727696,17-ts-t2-t3-corr_5.0,17-ts-t2-t3-corr_5.0,-0.19838423644143433
3d-pcpt3,0.0,0.8615706268020155,15.331313576197413,5.104790273061362,8.976524259461357,-27.06072227464277,-24.95291766223133,-19.482289316123154,-22.941749521708555,-20.197650214976115,9.820524617765233,-4.563249521881763,10.107923996623459,1.3742459375705436,15.855911568080822,-0.4656120932280868,3.128135158050055,14.273959967098115,1.6641553538072758,-1.0040152961150843,14.536886472812483,-11.616456978745308,-19.157866873233523,15.521448972823586,13.920044575166184,17.943635875186338,,,,,,,,,,,,,,-1.55559619966229,10.359555330139536,-30.782481476740596,-29.797291467242186,-2.621107432667277,9.627879182904477,-26.310848350563703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.0091,15.331313576197413,02-ts-rxt-c1,15.855911568080822,14-ts-t1-t2,14-ts-t1-t2,-0.5245979918834092,16.86372022518708,16.86372022518708,17-ts-t2-t3-corr_1.0,17-ts-t2-t3-corr_1.0,-1.5324066489896673,16.034390810683856,16.034390810683856,17-ts-t2-t3-corr_3.5,17-ts-t2-t3-corr_3.5,-0.7030772344864431,15.798271904024324,15.855911568080822,14-ts-t1-t2,14-ts-t1-t2,-0.5245979918834092
3e-pcy3,0.0,2.2533868308731897,16.3083459606487,5.909257528813898,10.564123446685887,-25.12234524377891,-22.368833293595454,-15.343863766799599,-21.638412165620366,-17.0795552104351,10.753003824052092,-1.0818264816724394,11.12009691692959,4.476025693158749,16.223004660672963,1.7162386472461615,5.889804732139201,16.74195506688526,8.680339746639419,1.8386030112533027,19.506134679779706,-6.502254063089004,-15.766805210325176,15.997101218989997,7.1153309032407535,23.05846630004459,,,,,,,,,,,,,,-1.9402595604672106,11.625242112709019,-24.371843809927178,-28.1394112094494,-0.3325800670806762,11.160885038170186,-19.492956979119498,-20.891048279205158,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.332616813942586,-25.318755736134214,-17.343109225636773,-30.501357194182216,-32.615436902608145,-26.37234428773896,-33.54603358043309,-18.27056835573983,-33.764406907412315,-24.31348542075916,-55.71280879514605,-34.35426589368018,-29.506127031460124,-46.41813718909492,0.0,6.33533652006136,18.167029278349364,11.118841897384263,12.683223231010265,-21.731283580585202,-19.496722036328688,-13.97150035826169,-19.63100908202143,-14.40008938802909,13.432469646172745,1.5976393407335705,2.5326285852550106,12.368213432427726,4.903359703951539,18.57553800224012,8.965229086977706,9.289024020094672,23.41049916379996,6.314628704982768,4.518068833659313,22.185600501900357,-3.8227882406829936,,,,,,,,,,,,,,,0.036,0.028,16.3083459606487,02-ts-rxt-c1,19.506134679779706,20-ts-t3-t4,20-ts-t3-t4,-3.1977887191310046,19.331715324974226,19.506134679779706,20-ts-t3-t4,20-ts-t3-t4,-3.1977887191310046,18.502385910471002,19.506134679779706,20-ts-t3-t4,20-ts-t3-t4,-3.1977887191310046,18.266267003811468,19.506134679779706,20-ts-t3-t4,20-ts-t3-t4,-3.1977887191310046
3f-pcy2tbu,0.0,-0.35956297788839836,12.221376195276727,7.538272347337046,12.198785850880144,-26.32528107048388,-23.63765762445754,-18.17518690254041,-22.15171498559084,-19.776591300197815,9.816759560270683,0.6739452675543469,9.286513982145449,2.1548678299518844,12.759151888391061,-1.234938814267211,3.338978370040179,12.353780712222191,2.539531190471447,-1.7714594884069335,13.062239005858718,-10.267311424376645,-17.804956261941026,17.765423159675045,14.758397347228236,19.05872036339563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0255,12.221376195276727,02-ts-rxt-c1,13.062239005858718,20-ts-t3-t4,20-ts-t3-t4,-0.8408628105819904,14.943540970311155,14.943540970311155,17-ts-t2-t3-corr_1.0,17-ts-t2-t3-corr_1.0,-2.722164775034427,14.114211555807932,14.114211555807932,17-ts-t2-t3-corr_3.5,17-ts-t2-t3-corr_3.5,-1.8928353605312047,13.8780926491484,13.8780926491484,17-ts-t2-t3-corr_5.0,17-ts-t2-t3-corr_5.0,-1.656716453871672
3g-ptbu2cy,0.0,2.685113408647835,17.137913599888474,10.540905593087357,14.64293558843753,-25.06837942159275,-23.05595626152465,-16.256262667209814,-19.78663145313614,-17.88088491846575,14.570144479349336,2.223893881545529,11.07491622870714,2.7409617595812708,14.007895913091144,-1.1546175907606335,3.7914127628934158,15.399712118018392,2.9549425190079224,-1.0661387424922923,14.133397825390889,-9.989952198742099,-11.615201959770697,18.69037225182888,15.656363527718273,20.776841539389064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322,0.0127,17.137913599888474,02-ts-rxt-c1,15.399712118018392,17-ts-t2-t3,02-ts-rxt-c1,1.7382014818700817,17.989472376107358,17.989472376107358,17-ts-t2-t3-corr_1.0,17-ts-t2-t3-corr_1.0,-0.8515587762188837,17.160142961604134,17.160142961604134,17-ts-t2-t3-corr_3.5,17-ts-t2-t3-corr_3.5,-0.02222936171565948,16.9240240549446,16.9240240549446,17-ts-t2-t3-corr_5.0,02-ts-rxt-c1,0.2138895449438749
3h-ptbu3,0.0,2.3079801628320142,11.682972992675088,11.27069921157514,16.267557839693463,-25.38276171097334,-23.271819550269292,-15.74546988518856,-19.00098948342956,-18.446898541647773,15.476268284030422,2.571534178033688,11.733173757652057,2.459837476452175,13.182093331916636,-2.353788359971053,1.1263796606929422,12.26718439327184,-1.8505256929388998,-3.496483269331448,13.164523064559932,-6.398087475640515,-14.9767706739221,24.650458054536333,14.355536209579304,20.19325764827962,,,,,,,,,,,,,,,,,,,,,-21.211078154542218,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.16501206960699,-21.1728000715362,-13.337715702460631,-28.924425669097953,-32.28787691171127,-26.14204827878878,-31.37673303027567,-20.523955186042304,-35.47750800636587,-31.249976099001316,-61.544255138117244,-42.012392566504424,-39.994321820765215,-59.398172442129066,0.0,6.438248087964521,13.794542662581081,12.937992112818943,20.432338790622794,-23.340845602433653,-19.066877987586675,-14.353653680832029,-18.08482552609551,-15.767432719812481,18.155734105865715,5.250999999868982,3.37223637686239,13.69163109467792,3.3226631213727265,16.735052461668825,1.5417909895147763,6.485938814421551,15.205184153839648,0.7473638861298466,-0.8170174474961546,15.843988886395225,-3.7186216538052217,15.645695865007287,14.354281190319334,20.94124904389677,-23.827793021083714,-23.351513264859282,-12.52760086046627,-17.00739161111957,21.890671008623748,14.410129540967413,27.535747012463307,2.0243458411829796,6.812871295260402,14.382519120387025,5.823916228267443,0.907,0.0186,16.267557839693463,04-ts-c1-c2,13.182093331916636,14-ts-t1-t2,04-ts-c1-c2,3.085464507776827,14.856944651360804,14.856944651360804,17-ts-t2-t3-corr_1.0,04-ts-c1-c2,1.4106131883326594,14.027615236857581,14.027615236857581,17-ts-t2-t3-corr_3.5,04-ts-c1-c2,2.2399426028358818,13.791496330198049,13.791496330198049,17-ts-t2-t3-corr_5.0,04-ts-c1-c2,2.4760615094954144
3i-pad3,0.0,1.326241455941823,10.462153142871006,8.02239597315155,15.405673458575833,-26.38646325277281,-22.847309332882773,-17.363503285543676,-18.759084547965475,-19.845931106107074,15.829869921646738,-5.42952646969589,11.407810050674149,2.574357971439959,13.611623625772317,-3.422123386667669,0.4916537408036047,10.000933616910133,1.1078681286772407,-2.269388324083594,13.973069132693348,-7.2637369142526955,-14.827109643935547,23.542589925859094,4.553523123829772,22.56430252186248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.0466,15.405673458575833,04-ts-c1-c2,13.973069132693348,20-ts-t3-t4,04-ts-c1-c2,1.432604325882485,12.590693874999097,13.973069132693348,20-ts-t3-t4,04-ts-c1-c2,1.432604325882485,11.761364460495875,13.973069132693348,20-ts-t3-t4,04-ts-c1-c2,1.432604325882485,11.525245553836342,13.973069132693348,20-ts-t3-t4,04-ts-c1-c2,1.432604325882485
