equivalents,comp_yield,ddG,comp_yield_minus,comp_yield_plus,corrected_ddG,corrected_ddG_minus,corrected_ddG_plus,nice_comp_yield,nice_comp_yield_minus,nice_comp_yield_plus
1,0.86,4.561875492,0.352166335,0.962981039,1.972115234,0.972115234,2.972115234,86,35.2166335,96.2981039
1,0.87,4.586370502,0.362680644,0.964018164,1.996610244,0.996610244,2.996610244,87,36.2680644,96.4018164
1,0.88,4.61184723,0.373845386,0.965068125,2.022086972,1.022086972,3.022086972,88,37.3845386,96.5068125
1,0.89,4.638473104,0.385760355,0.966134901,2.048712846,1.048712846,3.048712846,89,38.5760355,96.6134901
1,0.9,4.666479927,0.398561001,0.96722415,2.076719669,1.076719669,3.076719669,90,39.8561001,96.722415
1,0.905,4.715004037,0.421371898,0.969034266,2.125243779,1.125243779,3.125243779,90.5,42.1371898,96.9034266
1,0.91,4.765833078,0.446090555,0.97082978,2.17607282,1.17607282,3.17607282,91,44.6090555,97.082978
1,0.915,4.819205587,0.472893286,0.972609782,2.229445329,1.229445329,3.229445329,91.5,47.2893286,97.2609782
1,0.92,4.875425923,0.501975912,0.97437409,2.285665665,1.285665665,3.285665665,92,50.1975912,97.437409
1,0.925,4.93485688,0.533538991,0.976122498,2.345096622,1.345096622,3.345096622,92.5,53.3538991,97.6122498
1,0.93,4.997935714,0.567776999,0.977854777,2.408175456,1.408175456,3.408175456,93,56.7776999,97.7854777
1,0.935,5.065195045,0.604858665,0.979570636,2.475434787,1.475434787,3.475434787,93.5,60.4858665,97.9570636
1,0.94,5.137294499,0.644895559,0.981269752,2.547534241,1.547534241,3.547534241,94,64.4895559,98.1269752
1,0.945,5.21506413,0.687889275,0.98295172,2.625303872,1.625303872,3.625303872,94.5,68.7889275,98.295172
1,0.95,5.299568293,0.733645259,0.984616079,2.709808035,1.709808035,3.709808035,95,73.3645259,98.4616079
1,0.955,5.39220469,0.781641207,0.986262252,2.802444432,1.802444432,3.802444432,95.5,78.1641207,98.6262252
1,0.96,5.494860541,0.830827052,0.987889558,2.905100283,1.905100283,3.905100283,96,83.0827052,98.7889558
1,0.965,5.610172722,0.879355585,0.989497132,3.020412464,2.020412464,4.020412464,96.5,87.9355585,98.9497132
1,0.97,5.74198898,0.907683952,0.991083893,3.152228722,2.152228722,4.152228722,97,90.7683952,99.1083893
1,0.975,5.896249819,0.921784695,0.992648419,3.30648956,2.30648956,4.30648956,97.5,92.1784695,99.2648419
1,0.98,6.082861782,0.936258816,0.994188786,3.493101524,2.493101524,4.493101524,98,93.6258816,99.4188786
1,0.985,6.320295616,0.951161099,0.995702219,3.730535358,2.730535358,4.730535358,98.5,95.1161099,99.5702219
1,0.99,6.64974556,0.966577309,0.997184318,4.059985302,3.059985302,5.059985302,99,96.6577309,99.7184318
1,0.995,7.201458528,0.982668222,0.998626727,4.61169827,3.61169827,5.61169827,99.5,98.2668222,99.8626727
3.5,0.005,-0.222284233,0.001104626,0.022587723,-1.982715077,-2.982715077,-0.982715077,0.5,0.1104626,2.2587723
3.5,0.01,0.237078678,0.002210482,0.045061708,-1.523352166,-2.523352166,-0.523352166,1,0.2210482,4.5061708
3.5,0.015,0.505985891,0.003317573,0.067422355,-1.254444953,-2.254444953,-0.254444953,1.5,0.3317573,6.7422355
3.5,0.02,0.696916926,0.004425903,0.089670075,-1.063513918,-2.063513918,-0.063513918,2,0.4425903,8.9670075
3.5,0.025,0.845121641,0.005535474,0.111805277,-0.915309203,-1.915309203,0.084690797,2.5,0.5535474,11.1805277
3.5,0.03,0.966301244,0.006646289,0.13382837,-0.7941296,-1.7941296,0.2058704,3,0.6646289,13.382837
