,main-05-c2,main-naph-t,p1-05-c2,p1-42-p1,p1-naph-t
3a-pph3,9.922650893381117,0.80000000013433,7.066722797359429,1.450303439373444,2.6330043241057033e-07
3c-pipr3,9.711914505517925,3.4999999984210417,4.728538017267462,2.5771777638361844,2.142436317682754
3d-pcpt3,9.973039051368477,4.000000003004978,6.1880219945035995,1.8905428367633494,0.28258924489732884
3e-pcy3,9.994913876866004,3.6000000006830026,5.065803462491334,2.4651916955148843,0.002491483821794968
3j-iprjohnphos,9.98618277727004,8.499999992631194,1.0042272626480013,0.6216453273376241,98.37403935701943
3m-cyjohnphos,9.974905946873655,10.600000005480611,2.007417101432113,3.992294956210883,2.8661794239217433
3t-tbujohnphos,6.429840930543931,93.56998412412267,6.417722605373179,6.666847636586489e-13,93.58210280499767
9a-cbujohnphos,0.4309476121632482,99.56905201979292,0.06070814433953676,4.9696458556987695,13.97137814463354
9b-cptjohnphos,5.198497537019522,94.80083845579573,1.174266073345176,4.404637292111085,20.147291457998744
9c-etjohnphos,6.152850514394868,93.83214908670624,0.16111144318875678,4.910545621772607,0.024483044998722694
9d-mejohnphos,3.2178256809406474,96.78189890169612,0.07978324045804348,4.959793541155079,0.029217736638477498
9e-pcbu3,9.998742220686129,30.668899239067997,0.24395154895073898,4.87723694725879,0.3007569262210806
9f-pcpr3,6.6169987080054575,93.38256624983573,0.07666170672614628,4.960451677919248,0.04653844099948736
9g-pet3,7.72737897114942,0.03113611731024619,0.9310044033377615,4.465026325542638,3.652146122330954e-05
9h-pme3,9.998357800364092,24.845502853872258,0.24647967019747796,4.875885271054588,0.021685869854250858
