0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000021e-03	2.000000000000000042e-02	7.000000000000000666e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+02	3.927449206308753288e-08	1.005052656900462137e-10	1.691544845386643396e-15	1.001616980414611570e-03	1.480259672264264334e-10	5.421114517515103496e-27	9.868435119518899471e-11	2.995944324303028917e-10	9.983197021584413154e-04	1.463654561451481074e-17	2.339608428654750406e-08	1.542485726792383805e-15	1.794766930244002731e-02	6.894931017772507054e-02	1.050689822274901214e-03	1.913451209263524331e-14	5.236997207134430962e-05
2.000000000000000000e+02	3.839783439865619309e-08	9.798241330977299778e-11	1.649084205039534947e-15	1.028099013866924953e-03	1.484163705050188908e-10	5.435412150293282793e-27	9.636715741287774773e-11	2.928814231471818248e-10	9.718391438111196462e-04	1.424833478942107992e-17	2.280880294834861846e-08	1.474393686431858874e-15	1.789662838984932766e-02	6.892475069975238788e-02	1.075249300247581264e-03	3.831952647075909198e-14	1.034100079817582268e-04
3.000000000000000000e+02	3.753516021219653301e-08	9.551515257782497776e-11	1.607559194935480232e-15	1.053915257335596729e-03	1.487874446612695416e-10	5.449001897898252355e-27	9.409176461681510759e-11	2.862696040376478216e-10	9.460243483402148079e-04	1.386988303152742800e-17	2.223446249320539217e-08	1.408888252234445775e-15	1.784694229695245674e-02	6.890088026462910797e-02	1.099119735370863342e-03	5.755380353762734453e-14	1.530952381856377277e-04
4.000000000000000000e+02	3.668654328110338107e-08	9.310269513967074399e-11	1.566956546744364492e-15	1.079080440667269008e-03	1.491407271165289923e-10	5.461940064891927304e-27	9.185817519648441770e-11	2.797605441397891057e-10	9.208605860132624546e-04	1.350097447453017137e-17	2.167287940427487885e-08	1.345902458071973845e-15	1.779857690918280194e-02	6.887767948745290858e-02	1.122320512547060351e-03	7.683494309649376802e-14	2.014597773162235918e-04
5.000000000000000000e+02	3.585203746336197970e-08	9.074423656144062469e-11	1.527262721514211797e-15	1.103609081140901043e-03	1.494775736638805532e-10	5.474276304113858174e-27	8.966633400539415056e-11	2.733555538466458640e-10	8.963333396760621513e-04	1.314139636559347011e-17	2.112386642169077490e-08	1.285368590227026947e-15	1.775149886966084431e-02	6.885512952843622636e-02	1.144870471563729777e-03	9.616073184687824683e-14	2.485369823139213876e-04
6.000000000000000000e+02	3.503167779765253304e-08	8.843895871675298294e-11	1.488463949842454824e-15	1.127515479507535182e-03	1.497991858953739545e-10	5.486054621141328035e-27	8.751613272382850684e-11	2.670557022124090408e-10	8.724283087328049083e-04	1.279093912374219578e-17	2.058723309818005460e-08	1.227218449259411006e-15	1.770567556810741586e-02	6.883321207786069484e-02	1.166787922139248500e-03	1.155291217264457396e-13	2.943594634917166375e-04
7.000000000000000000e+02	3.422548148589014837e-08	8.618603179403059162e-11	1.450546265659890978e-15	1.150813716608279757e-03	1.501066337678016339e-10	5.497314200709587511e-27	8.540741378586650009e-11	2.608618328088324433e-10	8.491314125264442505e-04	1.244939638946863751e-17	2.006278626633533603e-08	1.171383582852437869e-15	1.766107512953366682e-02	6.881190934138528559e-02	1.188090658614662093e-03	1.349382114595775687e-13	3.389590958466345079e-04
8.000000000000000000e+02	3.343344893996996756e-08	8.398461641521052627e-11	1.413495541889439021e-15	1.173517650517828630e-03	1.504008742685073175e-10	5.508090090304666057e-27	8.333997431356348207e-11	2.547745793978881723e-10	8.264287931671805178e-04	1.211656506625280134e-17	1.955033053181813836e-08	1.117795507911217373e-15	1.761766640279662996e-02	6.879120402574571969e-02	1.208795974254230814e-03	1.543862307648651915e-13	3.823670305317783793e-04
9.000000000000000000e+02	3.265556467567654557e-08	8.183386531081273236e-11	1.377297518638231198e-15	1.195640914224304100e-03	1.506827669488560347e-10	5.518413769041404297e-27	8.131356955714958272e-11	2.487943799872251223e-10	8.043068178887203667e-04	1.179224535516398654e-17	1.904966866328907967e-08	1.066385904263587800e-15	1.757541894895587112e-02	6.877107932479226138e-02	1.228920675207705385e-03	1.738715267686226579e-13	4.246137064623353632e-04
1.000000000000000000e+03	3.189179818992589023e-08	7.973292490851222881e-11	1.341937829933935133e-15	1.217196913742774186e-03	1.509530869232611213e-10	5.528313623723246347e-27	7.932791616892781790e-11	2.429214902171297865e-10	7.827520808909880839e-04	1.147624078193712964e-17	1.856060196220317843e-08	1.017086791796719569e-15	1.753430302960358109e-02	6.875151890593211856e-02	1.248481094067828250e-03	1.933925522592360683e-13	4.657288620303498767e-04
1.100000000000000000e+03	3.114210501068236818e-08	7.768093731602515585e-11	1.307402037097535524e-15	1.238198826713829805e-03	1.512125358039862712e-10	5.537815349304513184e-27	7.738269575423477923e-11	2.371559973671705018e-10	7.617514047858395775e-04	1.116835821823310347e-17	1.808293072439525689e-08	9.698307044516721475e-16	1.749428959501857575e-02	6.873250689688420456e-02	1.267493103115731410e-03	2.129478554859337789e-13	5.057415469043982691e-04
1.200000000000000000e+03	3.040642739382922107e-08	7.567704138465765637e-11	1.273675646643303975e-15	1.258659601379790013e-03	1.514617509455511422e-10	5.546942287445743859e-27	7.547755750193187660e-11	2.314978315325589862e-10	7.412918415926229984e-04	1.086840789630046749e-17	1.761645448765786440e-08	9.245508268702376019e-16	1.745535027233222763e-02	6.871402787282034075e-02	1.285972127179586116e-03	2.325360712599026511e-13	5.446801338926661289e-04
1.300000000000000000e+03	2.968469531959698862e-08	7.372037449057410709e-11	1.240744140258271055e-15	1.278591955956739261e-03	1.517013132965891553e-10	5.555715714070124621e-27	7.361212139296468184e-11	2.259467783007970375e-10	7.213606733607816216e-04	1.057620341817388019e-17	1.716097244639315762e-08	8.811811362463664528e-16	1.741745735362797837e-02	6.869606684383797179e-02	1.303933156161969599e-03	2.521559131589501010e-13	5.825723308477089891e-04
1.400000000000000000e+03	2.897682718989776214e-08	7.181007355088923937e-11	1.208592991903470124e-15	1.298008378372413497e-03	1.519317540986411623e-10	5.564155084691594284e-27	7.178598063540922850e-11	2.205024890353052027e-10	7.019454124513766977e-04	1.029156175987158021e-17	1.671628368814355875e-08	8.396565142923729901e-16	1.738058378400731199e-02	6.867860924276353307e-02	1.321390757236431523e-03	2.718061666727551971e-13	6.194451925814855242e-04
1.500000000000000000e+03	2.828273067239308303e-08	6.994527637699423486e-11	1.177207690590978376e-15	1.316921126283041510e-03	1.521535606312759378e-10	5.572278244816799068e-27	6.999870433688185968e-11	2.151644916910719698e-10	6.830338014962824200e-04	1.001430327087087399e-17	1.628218750862537458e-08	7.999128541897570143e-16	1.734470314978317149e-02	6.866164091336375563e-02	1.338359086636190312e-03	2.914856831600952731e-13	6.553251326948529402e-04
1.600000000000000000e+03	2.760230343705604572e-08	6.812512275854255146e-11	1.146573758627832983e-15	1.335342227665078192e-03	1.523671811272941080e-10	5.580101609953281390e-27	6.824983985863676709e-11	2.099322005557781259e-10	6.646138128371451275e-04	9.744251665955611082e-18	1.585848366406395137e-08	7.618871537987138971e-16	1.730978966598013466e-02	6.864514809843748344e-02	1.354851901562429328e-03	3.111933744331297429e-13	6.902379360469010263e-04
